subjCode,trialNum,animals,response,notes,date
p047,9,peacock,none,not sure,4/1//2017
p047,10,elephant,elephant,,4/1//2017
p047,11,raccoon,none,I don’t remember ,4/1//2017
p047,12,ostrich,none,not sure,4/1//2017
p047,13,bird,bird,,4/1//2017
p047,14,duck,none,not sure,4/1//2017
p047,15,pig,piggie,,4/1//2017
p047,16,owl,owl,,4/1//2017
P048,1,elephant,elephant,,4/1//2017
P048,2,pig,pig,,4/1//2017
P048,3,bird,bird,,4/1//2017
P048,4,cow,cow,,4/1//2017
P048,5,raccoon,raccoon,,4/1//2017
P048,6,giraffe,giraffe,,4/1//2017
P048,7,zebra,zebra,,4/1//2017
P048,8,duck,duck,,4/1//2017
P048,9,monkey,monkey,,4/1//2017
P048,10,owl,owl,,4/1//2017
P048,11,penguin,penguin,,4/1//2017
P048,12,swan,duck,,4/1//2017
P048,13,peacock,ostrich,,4/1//2017
P048,14,ostrich,ostrich with no hair,,4/1//2017
P048,15,squirrel,squirrel,,4/1//2017
P048,16,rooster,chicken,,4/1//2017
p049,1,elephant,elephant,,
p049,2,duck,duck,,
p049,3,ostrich,ostrich,,
p049,4,swan,swan,,
p049,5,squirrel,squirrel,,
p049,6,owl,owl,,
p049,7,raccoon,raccoon,,
p049,8,cow,cow,,
p049,9,giraffe,giraffe,,
p049,10,pig,pig,,
p049,11,monkey,monkey,,
p049,12,peacock,peacock,,
p049,13,zebra,zebra,,
p049,14,rooster,hen,,
p049,15,penguin,penguin,,
p049,16,bird,bluejay,,
P050,1,squirrel,squirrel,,4/1//2017
P050,2,elephant,elephant,,4/1//2017
P050,3,zebra,zebra,,4/1//2017
P050,4,raccoon,raccoon,,4/1//2017
P050,5,peacock,peacock,,4/1//2017
P050,6,cow,cow,,4/1//2017
P050,7,swan,swan,,4/1//2017
P050,8,pig,pig,,4/1//2017
P050,9,monkey,monkey,,4/1//2017
P050,10,giraffe,giraffe,,4/1//2017
P050,11,penguin,penguin,,4/1//2017
P050,12,bird,bird,,4/1//2017
P050,13,duck,duck,,4/1//2017
P050,14,owl,owl,,4/1//2017
P050,15,ostrich,ostrich,,4/1//2017
P050,16,rooster,hen,,4/1//2017
p051,1,rooster,chicken,,4/1//2017
p051,2,monkey,monkey,,4/1//2017
p051,3,cow,cow,,4/1//2017
p051,4,elephant,elephant,,4/1//2017
p051,5,bird,birdie,,4/1//2017
p051,6,swan,swan,,4/1//2017
p051,7,zebra,zebra,,4/1//2017
p051,8,duck,duckie,,4/1//2017
p051,9,squirrel,squirrel,,4/1//2017
p051,10,penguin,penguin,,4/1//2017
p051,11,peacock,peacock,,4/1//2017
p051,12,giraffe,giraffe,,4/1//2017
p051,13,owl,owl,hoot-hoot-pokemon,4/1//2017
p051,14,pig,pig,,4/1//2017
p051,15,ostrich,ostrich,,4/1//2017
p051,16,raccoon,raccoon,,4/1//2017
p053,1,rooster,rooster,,
p053,2,squirrel,squirrel,,
p053,3,penguin,penguin,,
p053,4,cow,cow,,
p053,5,pig,pig,,
p053,6,monkey,monkey,,
p053,7,ostrich,none,,
p053,8,raccoon,skunk,,
p053,9,duck,duck,,
p053,10,giraffe,giraffe,,
p053,11,peacock,none,,
p053,12,zebra,zebra,,
p053,13,owl,owl,,
p053,14,elephant,elephant,,
p053,15,swan,swan,,
p053,16,bird,bird,,
P052,1,cow,pig,,4/1//2017
P052,2,monkey,monkey,,4/1//2017
P052,3,giraffe,giraffe,,4/1//2017
P052,4,squirrel,squirrel,,4/1//2017
P052,5,ostrich,duckie,,4/1//2017
P052,6,swan,duckie,,4/1//2017
P052,7,duck,duckie,,4/1//2017
P052,8,peacock,raccoon,,4/1//2017
P052,9,zebra,zebra,,4/1//2017
P052,10,raccoon,raccoon,,4/1//2017
P052,11,penguin,penguin,,4/1//2017
P052,12,bird,bird,,4/1//2017
P052,13,elephant,elephant,,4/1//2017
P052,14,owl,owl,,4/1//2017
P052,15,rooster,rooster,,4/1//2017
P052,16,pig,pig,,4/1//2017
p055,1,rooster,none,,
p055,2,peacock,none,,
p055,3,bird,bird,,
p055,4,pig,pig,,
p055,5,zebra,zebra,,
p055,6,duck,duck,,
p055,7,raccoon,none,,
p055,8,giraffe,giraffe,,
p055,9,owl,owl,,
p055,10,cow,cow,,
p055,11,squirrel,squirrel,,
p055,12,ostrich,none,,
p055,13,monkey,monkey,,
p055,14,elephant,elephant,,
p055,15,swan,goose,,
p055,16,penguin,penguin,,
p057,1,cow,cow,,
p057,2,giraffe,giraffe,,
p057,3,raccoon,none,I don’t know,
p057,4,elephant,elephant,,
p057,5,owl,owl,,
p057,6,rooster,none,I don’t know,
p057,7,swan,none,I don’t know,
p057,8,bird,bird,,
p057,9,ostrich,none,I don’t know,
p057,10,peacock,none,I don’t know,
p057,11,zebra,zebra,,
p057,12,pig,pig,,
p057,13,penguin,penguin,,
p057,14,monkey,monkey,,
p057,15,duck,duck,,
p057,16,squirrel,none,I don’t know ,
p059,1,squirrel,squirrel,,4/1/17
p059,2,rooster,rooster,,4/1/17
p059,3,pig,pig,,4/1/17
p059,4,peacock,peacock,,4/1/17
p059,5,monkey,monkey,,4/1/17
p059,6,ostrich,flamingo,,4/1/17
p059,7,penguin,penguin,,4/1/17
p059,8,swan,seagull,,4/1/17
p059,9,cow,cow,,4/1/17
p059,10,raccoon,raccoon,,4/1/17
p059,11,duck,duck,,4/1/17
p059,12,elephant,elephant,,4/1/17
p059,13,bird,bird,,4/1/17
p059,14,owl,owl,,4/1/17
p059,15,zebra,zebra,,4/1/17
p059,16,giraffe,giraffe,,4/1/17
p063,1,peacock,peacock,,4/1/17
p063,2,ostrich,ostrich,,4/1/17
p063,3,elephant,elephant,,4/1/17
p063,4,cow,cow,,4/1/17
p063,5,penguin,penguin,,4/1/17
p063,6,duck,goose,,4/1/17
p063,7,pig,pig,,4/1/17
p063,8,monkey,monkey,,4/1/17
p063,9,zebra,zebra,,4/1/17
p063,10,swan,flamingo,,4/1/17
p063,11,giraffe,giraffe,,4/1/17
p063,12,squirrel,squirrel,,4/1/17
p063,13,bird,bird,,4/1/17
p063,14,owl,owl,,4/1/17
p063,15,raccoon,raccoon,,4/1/17
p063,16,rooster,rooster,,4/1/17
